buy_id,product,buy_price,buy_date,expiry_date
b_01,onion,4.0,2024-01-02,2024-01-17
b_02,Salmon fillets,0.79,2024-01-04,2024-01-19
b_03,Laundry detergent,0.69,2024-01-05,2024-01-20
b_04,Coffee,0.39,2024-01-07,2024-01-22
b_05,Toilet paper,1.4,2024-01-07,2024-01-22
b_06,Carrots,0.5,2024-01-08,2024-01-23
b_07,Cookies,0.79,2024-01-09,2024-01-24
b_08,Salmon fillets,0.19,2024-01-10,2024-01-25
b_09,Carrots,0.19,2024-01-11,2024-01-26
b_10,Toilet paper,0.19,2024-01-11,2024-01-26
b_11,Cookies,2.5,2024-01-14,2024-01-29
b_12,White beans,2.5,2024-01-15,2024-01-30
b_13,Laundry detergent,4.0,2024-01-16,2024-01-31
b_14,Carrots,2.5,2024-01-16,2024-01-31
b_15,Coffee,0.5,2024-01-17,2024-02-01
b_16,Carrots,0.39,2024-01-17,2024-02-01
b_17,Laundry detergent,0.5,2024-01-19,2024-02-03
b_18,onion,2.5,2024-01-19,2024-02-03
b_19,onion,0.29,2024-01-21,2024-02-05
b_20,Carrots,4.0,2024-01-21,2024-02-05
b_21,onion,4.99,2024-01-22,2024-02-06
b_22,Butter,0.19,2024-01-22,2024-02-06
b_23,Toilet paper,0.5,2024-01-25,2024-02-09
b_24,Salmon fillets,4.0,2024-01-26,2024-02-10
b_25,Butter,1.1,2024-01-30,2024-02-14
b_26,Butter,0.29,2024-01-31,2024-02-15
b_27,Laundry detergent,3.1,2024-02-04,2024-02-19
b_28,Salmon fillets,4.99,2024-02-05,2024-02-20
b_29,Salmon fillets,0.39,2024-02-07,2024-02-22
b_30,Cookies,0.29,2024-02-10,2024-02-25
b_31,White beans,0.5,2024-02-14,2024-02-29
b_32,White beans,4.0,2024-02-14,2024-02-29
b_33,White beans,0.79,2024-02-17,2024-03-03
b_34,Salmon fillets,1.1,2024-02-18,2024-03-04
b_35,Coffee,1.4,2024-02-20,2024-03-06
b_36,White beans,3.1,2024-02-20,2024-03-06
b_37,Laundry detergent,0.29,2024-02-22,2024-03-08
