sell_id,buy_id,sell_price,sell_date
s_01,b_01,20.0,2024-01-06
s_02,b_02,3.95,2024-01-08
s_04,b_04,1.95,2024-01-11
s_05,b_05,7.0,2024-01-11
s_07,b_07,3.95,2024-01-13
s_08,b_08,0.95,2024-01-14
s_10,b_10,0.95,2024-01-15
s_11,b_11,12.5,2024-01-18
s_13,b_13,20.0,2024-01-20
s_14,b_14,12.5,2024-01-20
s_16,b_16,1.95,2024-01-21
s_17,b_17,2.5,2024-01-23
s_19,b_19,1.45,2024-01-25
s_20,b_20,20.0,2024-01-25
s_22,b_22,0.95,2024-01-26
s_23,b_23,2.5,2024-01-29
s_25,b_25,5.5,2024-02-03
s_26,b_26,1.45,2024-02-04
s_28,b_28,24.95,2024-02-09
s_29,b_29,1.95,2024-02-11
s_31,b_31,2.5,2024-02-18
s_32,b_32,20.0,2024-02-18
s_34,b_34,5.5,2024-02-22
s_35,b_35,7.0,2024-02-24
s_37,b_37,1.45,2024-02-26
s_38,b_38,3.45,2024-02-26
s_40,b_40,1.95,2024-02-28
s_41,b_41,20.0,2024-02-28
s_43,b_43,2.5,2024-03-02
s_44,b_44,15.5,2024-03-02
s_46,b_46,1.45,2024-03-03
s_47,b_47,15.5,2024-03-07
s_49,b_49,3.45,2024-03-09
s_50,b_50,3.95,2024-03-09
s_52,b_52,3.45,2024-03-13
s_53,b_53,15.5,2024-03-15
s_55,b_55,15.5,2024-03-16
s_56,b_56,0.95,2024-03-16
s_58,b_58,1.95,2024-03-23
s_59,b_59,3.45,2024-03-23
s_61,b_61,0.95,2024-03-31
s_62,b_62,0.95,2024-04-02
s_64,b_64,3.45,2024-04-03
s_65,b_65,24.95,2024-04-06
s_67,b_67,24.95,2024-04-11
s_68,b_68,7.0,2024-04-12
s_70,b_70,12.5,2024-04-20
s_71,b_71,20.0,2024-04-24
s_73,b_73,7.0,2024-04-27
s_74,b_74,1.45,2024-04-28
s_76,b_76,2.5,2024-05-02
s_77,b_77,1.45,2024-05-07
s_79,b_79,15.5,2024-05-10
s_80,b_80,3.95,2024-05-11
s_82,b_82,5.5,2024-05-14
s_83,b_83,12.5,2024-05-18
s_85,b_85,20.0,2024-05-25
s_86,b_86,7.0,2024-05-25
s_88,b_88,1.95,2024-05-30
s_89,b_89,1.45,2024-06-03
s_91,b_91,24.95,2024-06-06
s_92,b_92,5.5,2024-06-10
s_94,b_94,3.95,2024-06-11
s_95,b_95,24.95,2024-06-16
s_97,b_97,3.45,2024-06-18
s_98,b_98,15.5,2024-06-20
s_100,b_100,1.45,2024-06-23
s_101,b_101,1.95,2024-06-26
s_103,b_103,24.95,2024-06-28
s_104,b_104,24.95,2024-06-28
s_106,b_106,7.0,2024-07-02
s_107,b_107,20.0,2024-07-02
