buy_id,product,buy_price,buy_date,expiry_date
b_1,cheese,1.4,2023-10-03,2023-10-12
b_2,cheese,1.1,2023-10-04,2023-10-13
b_3,beef,1.1,2023-10-04,2023-10-13
b_4,banana,0.5,2023-10-17,2023-10-26
b_5,beef,5.2,2023-10-17,2023-10-26
b_6,banana,2.5,2023-10-19,2023-10-28
b_7,banana,3.1,2023-10-19,2023-10-28
b_8,cheese,0.5,2023-10-20,2023-10-29
b_9,bread,4.0,2023-10-22,2023-10-31
b_10,cheese,3.1,2023-10-23,2023-11-01
b_11,cheese,4.0,2023-10-24,2023-11-02
b_12,bread,1.4,2023-10-25,2023-11-03
b_13,bread,5.2,2023-10-26,2023-11-04
b_14,banana,4.0,2023-10-28,2023-11-06
b_15,banana,1.4,2023-10-29,2023-11-07
b_16,bread,1.1,2023-10-30,2023-11-08
b_17,banana,1.1,2023-10-31,2023-11-09
b_18,beef,2.5,2023-10-31,2023-11-09
b_19,beef,3.1,2023-11-02,2023-11-11
b_20,cheese,5.2,2023-11-03,2023-11-12
b_21,beef,1.4,2023-11-04,2023-11-13
b_22,bread,2.5,2023-11-06,2023-11-15
b_23,bread,3.1,2023-11-06,2023-11-15
b_24,beef,0.5,2023-11-08,2023-11-17
b_25,beef,4.0,2023-11-17,2023-11-26
b_26,cheese,2.5,2023-11-22,2023-12-01
b_27,bread,0.5,2023-11-22,2023-12-01
b_28,banana,5.2,2023-11-26,2023-12-05
