sell_id,buy_id,sell_price,sell_date
s_01,b_01,4.2,2024-05-16
s_03,b_03,4.2,2024-05-16
s_05,b_05,9.3,2024-05-16
s_07,b_07,1.5,2024-05-16
s_09,b_09,4.2,2024-05-16
s_11,b_11,4.2,2024-05-16
s_13,b_13,1.5,2024-05-16
s_15,b_15,2.37,2024-05-16
s_17,b_17,1.5,2024-05-16
s_19,b_19,14.97,2024-05-17
s_21,b_21,0.57,2024-05-17
s_23,b_23,7.5,2024-05-17
s_25,b_25,7.5,2024-05-17
s_27,b_27,7.5,2024-05-17
s_29,b_29,2.37,2024-05-17
s_31,b_31,7.5,2024-05-17
s_33,b_33,0.87,2024-05-17
s_35,b_35,1.5,2024-05-18
s_37,b_37,1.17,2024-05-18
s_39,b_39,2.07,2024-05-18
s_41,b_41,0.87,2024-05-18
s_43,b_43,1.17,2024-05-18
s_45,b_45,1.5,2024-05-18
s_47,b_47,1.17,2024-05-19
s_49,b_49,0.87,2024-05-19
s_51,b_51,0.57,2024-05-19
s_53,b_53,3.3,2024-05-19
s_55,b_55,9.3,2024-05-19
s_57,b_57,14.97,2024-05-19
s_59,b_59,9.3,2024-05-19
s_61,b_61,2.07,2024-05-19
s_63,b_63,0.57,2024-05-20
s_65,b_65,2.07,2024-05-20
s_67,b_67,3.3,2024-05-20
s_69,b_69,0.87,2024-05-20
s_71,b_71,4.2,2024-05-20
s_73,b_73,0.87,2024-05-20
s_75,b_75,7.5,2024-05-20
s_77,b_77,4.2,2024-05-20
s_79,b_79,12.0,2024-05-20
s_81,b_81,2.37,2024-05-20
s_83,b_83,12.0,2024-05-21
s_85,b_85,3.3,2024-05-21
s_87,b_87,3.3,2024-05-21
s_89,b_89,7.5,2024-05-21
s_91,b_91,2.37,2024-05-21
s_93,b_93,0.87,2024-05-21
s_95,b_95,9.3,2024-05-21
s_97,b_97,2.07,2024-05-21
s_99,b_99,12.0,2024-05-21
s_101,b_101,0.87,2024-05-21
s_103,b_103,2.37,2024-05-21
s_105,b_105,3.3,2024-05-21
s_107,b_107,1.17,2024-05-21
s_109,b_109,4.2,2024-05-21
s_111,b_111,1.17,2024-05-21
s_113,b_113,1.5,2024-05-22
s_115,b_115,12.0,2024-05-22
s_117,b_117,2.07,2024-05-22
s_119,b_119,14.97,2024-05-22
s_121,b_121,1.17,2024-05-22
s_123,b_123,0.87,2024-05-22
s_125,b_125,0.57,2024-05-22
s_127,b_127,2.07,2024-05-22
s_129,b_129,2.37,2024-05-22
s_131,b_131,9.3,2024-05-22
s_133,b_133,12.0,2024-05-22
s_135,b_135,0.57,2024-05-23
s_137,b_137,2.37,2024-05-23
s_139,b_139,0.87,2024-05-23
s_141,b_141,0.57,2024-05-23
s_143,b_143,9.3,2024-05-23
s_145,b_145,14.97,2024-05-23
s_147,b_147,0.87,2024-05-24
s_149,b_149,2.37,2024-05-24
s_151,b_151,4.2,2024-05-24
s_153,b_153,0.87,2024-05-24
s_155,b_155,1.17,2024-05-24
s_157,b_157,14.97,2024-05-24
s_159,b_159,7.5,2024-05-24
s_161,b_161,4.2,2024-05-24
s_163,b_163,3.3,2024-05-24
s_165,b_165,9.3,2024-05-24
s_167,b_167,0.87,2024-05-25
s_169,b_169,4.2,2024-05-25
s_171,b_171,1.5,2024-05-25
s_173,b_173,2.37,2024-05-25
s_175,b_175,3.3,2024-05-25
s_177,b_177,12.0,2024-05-25
s_179,b_179,2.07,2024-05-25
s_181,b_181,0.87,2024-05-25
s_183,b_183,2.07,2024-05-25
s_185,b_185,4.2,2024-05-25
s_187,b_187,3.3,2024-05-25
s_189,b_189,1.17,2024-05-25
s_191,b_191,0.57,2024-05-26
s_193,b_193,2.07,2024-05-26
s_195,b_195,0.87,2024-05-26
s_197,b_197,1.17,2024-05-26
s_199,b_199,2.07,2024-05-26
s_201,b_201,4.2,2024-05-27
s_203,b_203,3.3,2024-05-27
s_205,b_205,2.07,2024-05-27
s_207,b_207,2.07,2024-05-27
s_209,b_209,1.5,2024-05-27
s_211,b_211,12.0,2024-05-27
s_213,b_213,7.5,2024-05-27
s_215,b_215,2.37,2024-05-27
s_217,b_217,2.37,2024-05-28
s_219,b_219,3.3,2024-05-28
s_221,b_221,1.5,2024-05-28
s_223,b_223,1.17,2024-05-28
s_225,b_225,1.5,2024-05-28
s_227,b_227,1.17,2024-05-28
s_229,b_229,1.17,2024-05-28
s_231,b_231,14.97,2024-05-29
s_233,b_233,14.97,2024-05-29
s_235,b_235,7.5,2024-05-29
s_237,b_237,2.37,2024-05-29
s_239,b_239,1.5,2024-05-29
s_241,b_241,3.3,2024-05-29
s_243,b_243,12.0,2024-05-29
s_245,b_245,14.97,2024-05-30
s_247,b_247,3.3,2024-05-30
s_249,b_249,12.0,2024-05-30
s_251,b_251,0.87,2024-05-30
s_253,b_253,1.5,2024-05-30
s_255,b_255,2.07,2024-05-31
s_257,b_257,4.2,2024-05-31
s_259,b_259,0.87,2024-05-31
s_261,b_261,1.5,2024-05-31
s_263,b_263,4.2,2024-05-31
s_265,b_265,1.5,2024-05-31
s_267,b_267,9.3,2024-05-31
s_269,b_269,9.3,2024-05-31
s_271,b_271,0.57,2024-05-31
s_273,b_273,9.3,2024-05-31
s_275,b_275,1.17,2024-05-31
s_277,b_277,12.0,2024-05-31
s_279,b_279,1.17,2024-05-31
s_281,b_281,7.5,2024-06-01
s_283,b_283,2.37,2024-06-01
s_285,b_285,12.0,2024-06-01
s_287,b_287,7.5,2024-06-01
s_289,b_289,3.3,2024-06-01
s_291,b_291,14.97,2024-06-01
s_293,b_293,9.3,2024-06-01
s_295,b_295,2.37,2024-06-01
s_297,b_297,2.37,2024-06-01
s_299,b_299,14.97,2024-06-02
s_301,b_301,2.07,2024-06-02
s_303,b_303,0.57,2024-06-02
s_305,b_305,4.2,2024-06-02
s_307,b_307,1.5,2024-06-02
s_309,b_309,4.2,2024-06-02
s_311,b_311,2.07,2024-06-02
s_313,b_313,12.0,2024-06-02
s_315,b_315,3.3,2024-06-02
s_317,b_317,0.87,2024-06-03
s_319,b_319,1.5,2024-06-03
s_321,b_321,0.87,2024-06-03
s_323,b_323,14.97,2024-06-03
s_325,b_325,0.57,2024-06-03
s_327,b_327,2.07,2024-06-03
s_329,b_329,2.07,2024-06-03
s_331,b_331,0.57,2024-06-03
s_333,b_333,0.87,2024-06-03
s_335,b_335,3.3,2024-06-03
s_337,b_337,2.07,2024-06-04
s_339,b_339,0.57,2024-06-04
s_341,b_341,0.57,2024-06-04
s_343,b_343,14.97,2024-06-04
s_345,b_345,4.2,2024-06-05
s_347,b_347,14.97,2024-06-05
s_349,b_349,0.57,2024-06-05
s_351,b_351,0.57,2024-06-05
s_353,b_353,12.0,2024-06-05
s_355,b_355,1.17,2024-06-05
s_357,b_357,12.0,2024-06-05
s_359,b_359,2.37,2024-06-05
s_361,b_361,2.07,2024-06-05
s_363,b_363,2.37,2024-06-05
s_365,b_365,1.5,2024-06-06
s_367,b_367,1.5,2024-06-06
s_369,b_369,7.5,2024-06-06
s_371,b_371,7.5,2024-06-06
s_373,b_373,0.57,2024-06-06
s_375,b_375,7.5,2024-06-06
s_377,b_377,7.5,2024-06-06
s_379,b_379,2.07,2024-06-06
s_381,b_381,0.57,2024-06-07
s_383,b_383,7.5,2024-06-07
s_385,b_385,2.07,2024-06-07
s_387,b_387,2.37,2024-06-07
s_389,b_389,3.3,2024-06-07
s_391,b_391,1.5,2024-06-07
s_393,b_393,1.5,2024-06-07
s_395,b_395,7.5,2024-06-07
s_397,b_397,2.37,2024-06-07
s_399,b_399,4.2,2024-06-07
s_401,b_401,4.2,2024-06-08
s_403,b_403,9.3,2024-06-08
s_405,b_405,1.17,2024-06-08
s_407,b_407,9.3,2024-06-08
s_409,b_409,1.5,2024-06-08
s_411,b_411,2.37,2024-06-08
