buy_id,product,buy_price,buy_date,expiry_date
b_01,Brown beans,0.69,2024-01-01,2024-01-16
b_02,Tea bags,0.79,2024-01-02,2024-01-17
b_03,Apple,0.29,2024-01-04,2024-01-19
b_04,Sugar,4.99,2024-01-06,2024-01-21
b_05,Brown beans,3.1,2024-01-07,2024-01-22
b_06,Tomatoes,4.0,2024-01-09,2024-01-24
b_07,Apple,0.39,2024-01-10,2024-01-25
b_08,Brown beans,1.4,2024-01-14,2024-01-29
b_09,Cookies,4.99,2024-01-16,2024-01-31
b_10,Tea bags,4.0,2024-01-17,2024-02-01
b_11,Cookies,4.0,2024-01-19,2024-02-03
b_12,Chicken breasts,0.69,2024-01-23,2024-02-07
b_13,Chicken breasts,0.79,2024-01-24,2024-02-08
b_14,Cookies,0.5,2024-01-25,2024-02-09
b_15,Tomatoes,0.79,2024-01-26,2024-02-10
b_16,Tea bags,4.99,2024-01-27,2024-02-11
b_17,Tea bags,0.19,2024-01-28,2024-02-12
b_18,Bottled water,0.69,2024-01-29,2024-02-13
b_19,Cookies,3.1,2024-02-01,2024-02-16
b_20,Chicken breasts,1.1,2024-02-01,2024-02-16
b_21,Pasta,1.1,2024-02-02,2024-02-17
b_22,Bottled water,4.99,2024-02-04,2024-02-19
b_23,Cookies,0.39,2024-02-06,2024-02-21
b_24,Pasta,1.4,2024-02-07,2024-02-22
b_25,Apple,0.69,2024-02-08,2024-02-23
b_26,Brown beans,0.79,2024-02-08,2024-02-23
b_27,Tomatoes,0.29,2024-02-08,2024-02-23
b_28,Sugar,0.5,2024-02-10,2024-02-25
b_29,Chicken breasts,0.29,2024-02-12,2024-02-27
b_30,Cookies,1.1,2024-02-13,2024-02-28
b_31,Tomatoes,3.1,2024-02-14,2024-02-29
b_32,Tomatoes,1.1,2024-02-15,2024-03-01
b_33,Tomatoes,2.5,2024-02-15,2024-03-01
b_34,Tea bags,0.69,2024-02-16,2024-03-02
b_35,Bottled water,0.39,2024-02-17,2024-03-03
b_36,Chicken breasts,0.19,2024-02-18,2024-03-04
b_37,Brown beans,2.5,2024-02-20,2024-03-06
b_38,Cookies,0.79,2024-02-20,2024-03-06
b_39,Pasta,4.99,2024-02-21,2024-03-07
b_40,Chicken breasts,2.5,2024-03-01,2024-03-16
b_41,Sugar,3.1,2024-03-03,2024-03-18
b_42,Brown beans,4.99,2024-03-07,2024-03-22
b_43,Tomatoes,0.5,2024-03-07,2024-03-22
b_44,Apple,3.1,2024-03-08,2024-03-23
b_45,Bottled water,1.4,2024-03-08,2024-03-23
b_46,Sugar,0.19,2024-03-09,2024-03-24
b_47,Bottled water,4.0,2024-03-09,2024-03-24
b_48,Tea bags,0.29,2024-03-11,2024-03-26
b_49,Tomatoes,0.39,2024-03-11,2024-03-26
b_50,Sugar,0.29,2024-03-13,2024-03-28
b_51,Chicken breasts,1.4,2024-03-16,2024-03-31
b_52,Tomatoes,0.69,2024-03-17,2024-04-01
b_53,Apple,0.79,2024-03-19,2024-04-03
b_54,Tomatoes,4.99,2024-03-25,2024-04-09
b_55,Pasta,0.69,2024-03-28,2024-04-12
b_56,Pasta,3.1,2024-03-29,2024-04-13
b_57,Pasta,0.39,2024-03-30,2024-04-14
b_58,Brown beans,0.5,2024-04-01,2024-04-16
b_59,Bottled water,0.5,2024-04-01,2024-04-16
b_60,Cookies,2.5,2024-04-01,2024-04-16
b_61,Sugar,0.39,2024-04-02,2024-04-17
b_62,Pasta,4.0,2024-04-06,2024-04-21
b_63,Cookies,1.4,2024-04-08,2024-04-23
b_64,Sugar,4.0,2024-04-11,2024-04-26
b_65,Pasta,0.79,2024-04-12,2024-04-27
b_66,Tomatoes,0.19,2024-04-12,2024-04-27
b_67,Sugar,1.4,2024-04-13,2024-04-28
b_68,Cookies,0.19,2024-04-13,2024-04-28
