sell_id,buy_id,sell_price,sell_date
s_01,b_01,3.45,2024-01-05
s_02,b_02,3.95,2024-01-06
s_04,b_04,24.95,2024-01-10
s_05,b_05,15.5,2024-01-11
s_07,b_07,1.95,2024-01-14
s_08,b_08,7.0,2024-01-18
s_10,b_10,20.0,2024-01-21
s_11,b_11,20.0,2024-01-23
s_13,b_13,3.95,2024-01-28
s_14,b_14,2.5,2024-01-29
s_16,b_16,24.95,2024-01-31
s_17,b_17,0.95,2024-02-01
s_19,b_19,15.5,2024-02-05
s_20,b_20,5.5,2024-02-05
s_22,b_22,24.95,2024-02-08
s_23,b_23,1.95,2024-02-10
s_25,b_25,3.45,2024-02-12
s_26,b_26,3.95,2024-02-12
s_28,b_28,2.5,2024-02-14
s_29,b_29,1.45,2024-02-16
s_31,b_31,15.5,2024-02-18
s_32,b_32,5.5,2024-02-19
s_34,b_34,3.45,2024-02-20
s_35,b_35,1.95,2024-02-21
s_37,b_37,12.5,2024-02-24
s_38,b_38,3.95,2024-02-24
s_40,b_40,12.5,2024-03-05
s_41,b_41,15.5,2024-03-07
s_43,b_43,2.5,2024-03-11
s_44,b_44,15.5,2024-03-12
s_46,b_46,0.95,2024-03-13
s_47,b_47,20.0,2024-03-13
s_49,b_49,1.95,2024-03-15
s_50,b_50,1.45,2024-03-17
s_52,b_52,3.45,2024-03-21
s_53,b_53,3.95,2024-03-23
s_55,b_55,3.45,2024-04-01
s_56,b_56,15.5,2024-04-02
s_58,b_58,2.5,2024-04-05
s_59,b_59,2.5,2024-04-05
s_61,b_61,1.95,2024-04-06
s_62,b_62,20.0,2024-04-10
s_64,b_64,20.0,2024-04-15
s_65,b_65,3.95,2024-04-16
s_67,b_67,7.0,2024-04-17
s_68,b_68,0.95,2024-04-17
s_70,b_70,5.5,2024-04-25
s_71,b_71,3.45,2024-04-29
s_73,b_73,0.95,2024-04-30
s_74,b_74,5.5,2024-05-01
s_76,b_76,1.95,2024-05-04
s_77,b_77,12.5,2024-05-04
s_79,b_79,3.95,2024-05-09
s_80,b_80,0.95,2024-05-12
s_82,b_82,20.0,2024-05-15
s_83,b_83,7.0,2024-05-18
s_85,b_85,5.5,2024-05-24
s_86,b_86,0.95,2024-05-24
s_88,b_88,15.5,2024-05-28
s_89,b_89,12.5,2024-05-30
s_91,b_91,1.95,2024-06-01
s_92,b_92,2.5,2024-06-02
s_94,b_94,7.0,2024-06-03
s_95,b_95,1.45,2024-06-06
s_97,b_97,12.5,2024-06-11
s_98,b_98,0.95,2024-06-12
s_100,b_100,24.95,2024-06-19
s_101,b_101,2.5,2024-06-21
s_103,b_103,5.5,2024-06-22
s_104,b_104,15.5,2024-06-24
s_106,b_106,20.0,2024-06-27
s_107,b_107,12.5,2024-06-30
